Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012
"354870805000001","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","179","406",2.27,1.48,2833.96,5901831.54,2983.99,5765782.91,2038.02,4591852.36,2557.38,4433304.73
"354870805000002","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","208","489",2.35,1.2,2662.43,4177621.13,2728,4101247.49,1729.59,3438058.24,2251.45,3300065.61
"354870805000003","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","110","255",2.32,1.08,5033.31,29996345.89,5174.43,30108190.44,3138.69,19480618.05,4144.45,21566195.1
"354870805000004","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","198","591",2.98,1.55,12618.28,1452253269,13360.53,1528169016,6271.39,558448650.7,8449.39,734423338.7
"354870805000005","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","226","627",2.77,1.65,7422.41,69375680.41,7875.42,70045367.66,4216.5,40282267.85,5911.17,46469582.95
"354870805000006","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","134","328",2.45,1.17,4649.7,21938854.62,4792.77,21928123.09,2962.8,15237732.94,3736.22,16330161.8
"354870805000007","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","226","475",2.1,1.67,2019.93,4557459.16,2329.11,4534815.67,1458.34,3631014.68,2086.11,3885291.16
"354870805000008","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","130","399",3.07,1.43,6917.88,28346585.67,7194.6,27482681.35,3390.86,20063900.21,5200.27,21366328.05
"354870805000009","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","225","583",2.59,1.2,3744.85,11678154.3,4012.34,11437904.46,2496.09,9062354.13,3326.04,9315782.04
"354870805000010","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","119","314",2.64,1.47,3523.95,28568644.44,3711.06,29398522.08,2311.16,15366658.85,2931.48,17682638.42
"354870805000011","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","168","432",2.57,1.85,2216.84,4093007.47,2482.86,3922539.72,1481.75,3438245.67,2155.27,3549865.33
"354870805000012","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","147","408",2.78,1.72,2420.91,4123653.57,2737.49,3793725.32,1479.22,3137113.3,2150.02,3117430.22
"354870805000013","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","152","441",2.9,2.14,1451.1,1542318.43,1598.31,1462918.06,996.81,1342342.53,1385.13,1327348.31
"354870805000014","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","159","498",3.13,1.63,3529.99,20830522.05,4526.35,22211327.94,3228.38,40214041.04,4884.76,52796785.37
"354870805000015","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","223","551",2.47,1.45,2059.96,3758988.51,2496.58,3464070.45,1688.03,3341226.65,2209.07,3221233.58
"354870805000016","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","207","627",3.03,1.89,4567.87,26190293.38,5083.6,26527319.24,2838.19,16050027.9,3980.39,17967459.05
"354870805000017","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","156","452",2.9,1.8,3757.92,21812371.67,3856.82,22006245.97,2164.45,12901370.32,3014.51,15414005.26
"354870805000018","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","159","430",2.7,1.41,3103.73,10364944.91,3682.78,10164678.11,3021.08,14676056.63,4001.69,15518419.14
"354870805000019","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","326","946",2.9,0.89,4136.89,9822696.81,4308.71,9489283.02,2716.95,7171894.09,3411.89,6634477.38
"354870805000020","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","98","245",2.5,1.63,1250.17,15105511.38,3403.25,34327032.19,694.53,6931808,2495.97,20628867.81
"354870805000021","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","247","562",2.28,1.37,2301.14,3158815.99,2418.64,3035389.66,1767.69,3380464.92,2144.07,3293047.33
"354870805000022","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","223","613",2.75,1.63,2510.93,5994454.77,2994.32,5699470.87,2101.94,5218021.36,2797.65,4998241.55
"354870805000023","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","192","601",3.13,2.33,2474.9,7475436.42,2610.88,7531445.01,1424.98,4247231.25,2016.27,4818880.96
"354870805000024","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","335","931",2.78,1.39,3797.59,11412791.4,3950.91,11267354.51,2323.45,8269232.64,3113.12,8621929.85
"354870805000025","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","184","560",3.04,2.49,1502.22,18785711.29,2322.76,27211694.96,1223.59,8650811.72,1897.89,12149213.18
"354870805000026","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","413","1158",2.8,2.04,2372.87,10386753.12,2519.27,10659464.67,1492.52,5656335.14,2000.86,6566880.22
"354870805000027","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","1","149","501",3.36,1.92,776.16,2621827.08,1204.67,3562890.46,478.24,1176199.57,1050.65,1986786.71
"354870805000028","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","1","217","744",3.43,2.91,570.18,281164.16,783.09,219032.48,455.65,246104.62,752.06,183120.97
"354870805000029","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","165","607",3.68,2.72,845.79,1068996.33,1033.74,1112579.37,610.96,817504.8,980.04,950033.9
"354870805000030","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","36","111",3.08,1.74,1893.94,2208340.63,2130.69,1972590.54,1133.59,1766927.4,1821.18,1583439.62
"354870805000031","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","281","779",2.77,1.59,3588.16,10634825.6,3748.22,10508808.34,2412.11,8830753.46,3322.25,9139700.09
"354870805000032","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","1","197","692",3.51,2.74,731.45,841183.85,967.08,884583.63,420.76,499389.57,879.63,640885.85
"354870805000033","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","1","278","936",3.37,3.04,778.9,619379.13,917.52,602350.23,511.3,449217.85,834.88,463385.94
"354870805000034","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","176","454",2.58,1.49,2914.28,6085082.36,3071.34,5929714.24,1949.06,5455515.95,2602.98,5584151.85
"354870805000035","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","160","500",3.13,2.24,2863.94,8599454.21,3204.41,8530285.38,2123.25,9062588.51,3095.26,10206467.36
"354870805000036","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","160","389",2.43,1.4,1139.26,2262035.86,2071.38,2181105.34,873.17,1789992.39,1987.04,1860501.55
"354870805000037","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","113","320",2.83,1.43,3465.73,12688326.14,3592.92,12697075.34,2191.45,8866260.31,3101.11,9729718.02
"354870805000038","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","222","653",2.94,2.11,2369.1,5815922.26,2540.77,5801110.08,1378.02,3787868.32,1999.48,4254546.12
